Dimensione Matrice (NxN);Tempo di Esecuzione (sec)
250;0.0124995
500;0.04290825
750;0.1140945
1000;0.23003325
1250;0.398439
1500;0.67103025
1750;1.12223775
2000;1.43840625
2250;1.96846275
2500;2.582661
2750;3.42012225
3000;4.50988725
3250;5.33220525
3500;6.82950675
3750;8.10734475
4000;9.98035425
4250;12.12834375
4500;13.69661625
4750;16.362153
5000;18.63789525
5250;21.528087
5500;24.47933025
5750;27.68776275
6000;31.4555475
6250;35.8288425
6500;40.420641
6750;45.04374675
7000;50.47110225
7250;55.62258075
7500;61.58281575
7750;68.30518875
8000;75.001563
8250;81.57308175
8500;92.446574
8750;96.77791575
9000;105.81633375
9250;114.476331
9500;123.7889655
9750;132.25070175
10000;145.63566675